"2021/07/13 9:30:29 PM GMT+1","6º ano","Zé Gotinha é uma representação da vacina em si.","Darlan Rosa foi quem inventou este personagem.","Ele aparecia em um comercial chorando, sentado em um cantinho, e dizia que estava chorando por ainda não ter um nome.","O Zé Gotinha foi criado em 1986.","Quando Zé Gotinha nasceu ele é era um representação da vacina já atualmente ele trabalha como escultor.
","Ele aparecia chorando,pois, não tinha nome.","Foi feita essa escolha,pois,a criadora pediu sugestão e mais de 10 mil de pessoas votaram para Zé Gotinha.","Os organizadores decidiram que o nome deveria ser este,pois,foi feito um sorteio,para escolher um vencedor.","Quem levou o prêmio foi o menino do Distrito Federal.","A campanha principal era fazer que os adultos e crianças não ficassem com medo e tomar a vacina do mesmo jeito e quem alguém forte passasse coragem para os outros que têm medo.","A vacina é importante,pois, ele pode combater vírus.","Não é preciso ter medo,pois, a vacina só vai ajudar a situação.","Uma doença que causa paralisia nas crianças.","Foi feito esse sorteio anos atras e por isso foi pelas cartas já que não havia tecnologia. ","
Incetiva,pois, ele é alegre e um personagem bem infantil.","Atualmente ele trabalha como escultor.","Para mostrar que era uma pessoa falando.","Fato: Darlan virou até nome de prédio residencial na cidade. Opinião: Aqui, sou uma pessoa ilustre, brinca.","Barreira dos medos:as crianças que tinham medo.Deslanchou:progrediu.","Morrer de medo significa ficar com muito medo.","Selecionou esse desenho por conta de um arquivo da Darlan."
"2021/07/13 10:32:57 PM GMT+1","6º ano","Zé Gotinha é um personagem criado para influenciar as crianças a si vacinar .","Darlan Rosa foi quem crio o Zé Gotinha.","As propagandas eram de passar medo nas pessoas ,pois os médicos diziam que vacina é algo sério e que tinha que ser daquele jeito.","O Zé Gotinha foi criado no ano de 1986 por Darlan Rosa .","Antigamente: ele não tinha nome .
Atualmente: ele tem nome e é Zé Gotinha .","Ele aparecia no comercial chorando ,pois ele não tinha nome e queria um .","A escolha foi feita por meio de cartas , onde cada um escolhia a sua opinião .","Os organizadores entenderam que o nome tinha que ser Zé Gotinha pois,mais de 10.000 pessoas escolheram esse nome .","Um menino de Brasília levou o prêmio .","A ideia principal da campanha do Zé Gotinha é influenciar as crianças a si vacinar .","Vacina é um assunto sério pois, si trata de saúde .","Não é preciso de ter medo de tomar vacina pois, ela irá prevenir doenças .","Poliomielite é uma doença que causa paralisia nas crianças .","O concurso foi feito por meio de cartas para que todos conseguissem dar a sua opinião .","O personagem mostra que não tem necessidade de chorar na hora de tomar vacina , e que isso irá fazer bem para a sua saúde .","Atualmente Darlan Rosa trabalha como escultor .","Esse recurso no texto serve para mostrar que Darlan Rosa está dizendo algo .","Fato: Darlan virou até nome de prédio residencial na cidade .
Opinião: aqui, sou uma pessoa ilustre.
","Ele quis dizer que depois que o Zé Gotinha foi criado as crianças pararam de ter medo de tomar vacina e que sua ideia tinha dado certo .","Morrer de medo, neste fragmento significa ter muito medo de tomar vacina .","Esse desenho foi selecionado do arquivo pessoal do Darlan Rosa ."
"2021/07/13 10:34:40 PM GMT+1","6º ano","Zé Gotinha é um mascote criado para encorajar crianças na hora de tomar vacina.","Darlan Rosa é o criador do Zé Gotinha.","As propagandas eram assustadoras.","Zé Gotinha foi criado em 1986.","Antigamente o Zé Gotinha não era o mascote que é hoje, era um personagem 2d agora é um personagem 3d, o olho era apenas uma bolinha preta, hoje é desenhado certinho e tem expressões faciais.","Pois ainda não tinha um nome.","Através  de um concurso, Darlan convidou todos os brasileiros a mandarem sugestões de nome por carta.","Porque mais de dez mil cartas sugeriram o nome Zé Gotinha.","O menino do Distrito Federal foi quem levou o premio.","A ideia era que alguém forte passasse coragem para quem tinha que se vacinar.","Pois todos tinham medo de ficar doente.","Porque as vacinas ajudam a não pegar doenças.","Poliomielite é uma doença que causa paralisia nas crianças","Pois se não iria dar briga, quem iria falar primeiro...","O personagem tem muito carisma.","Atualmente ele trabalha como escultor","Serve para dizer o que as pessoas falaram.","g","''A barreira dos medos acabou'': quer dizer que eles venceram o medo. ""a campanha deslanchou"": quer dizer que a campanha começou a dar certo.","As pessoas precisavam ter MUITO medo, mais medo de ficar doente que de tomar vacina. ","Do arquivo pessoal do Darlan Rosa."
"2021/07/14 3:45:38 PM GMT+1","6º ano"," Ele é um personagem feito de gotas da vacina."," Ela e a criadora do Zé Gotinha."," Antes da propaganda do Zé Gotinha as propagandas davam medo."," Ele foi criado no ano de 1986.","Diferenças: ele era azul e ele não tinha nome.

Hoje: ele e branco e tem nome."," Porque nesse comercial ele não tem nome."," Foi feita através de cartas com sugestões de nomes."," Eles entenderão porque receberão mais de 10 mil cartas."," Quem levou foi um menino do Distrito Federal."," A ideia era escolher um nome."," E assunto serio porque sem ela teria muito mais mortes e doenças."," Não é preciso ter medo pois fara um bem maior."," É uma doença seria que pode matar."," Foi feito por cartas, pois naquela época não tinha telefone e nem email."," O personagem dava coragem para quem precisava tomar vacina."," Atualmente ele trabalha como escultor em Brasília."," Este recurso para indicar uma fala."," Opinião: ""Aqui, sou uma pessoa ilustre"".

 Fato: ""Darlan virou até nome de prédio residencial na cidade"".
"," Barreira dos medos: o que trazia medo.
 Deslanchou: foi para frente."," Ter muito medo."," Ele selecionou de uma gota da vacina da poliomelite."
"2021/07/14 4:24:54 PM GMT+1","5º ano","É um personagem criado por Darlan Rosa para incentivar as crianças a tomarem a vacina","Morador de Brasília, tem 74 anos, foi o criador do Zé Gotinha em 1986","Eram assustadoras,amendrontavam as crianças passando medo de adoecer","Em 1986","Ele foi desenhado com duas gotas, representando  a polio, doença da poliomielite, não tinha nome na época, e aparecia num canto chorando. Mais tarde, após um concurso recebeu o nome de Zé gotinha e é o sucesso que é hoje.","Porque ainda não tinha um nome","Através de um concurso através de cartas","Devido empatia e carisma","Um menino do Distrito Federal","Trazer as crianças no posto de vacinação e acabar com o medo que elas tinham da vacina","Porque é através das vacinas que previnimos várias doenças, que podem até matar","Porque a vacina não é considerada um terror como era divulgada antigamente, passando ideia de mortes","É uma doença que causa paralisia nas crianças","Devido a época não possuir outros meios de comunicação e para ajudar a sugerir nomes para o mascote","Carisma e empatia","Escultor em Brasília, trabalha no centro cultural do Banco do Brasil, no parque casulo.","Porque faz citações do Darlan Rosa","Fato: Darlan virou até nome de prédio residencial na cidade
Opinião: "" Aqui, sou uma pessoa ilustre""","Sentido abstrato","Medo excessivo ou exagerado da morte","Do arquivo pessoal de Darlan Rosa"
"2021/07/14 7:51:24 PM GMT+1","5º ano","Zé Gotinha é o mascote da vacinação.","Darlan Rosa foi quem criou o Zé Gotinha.","As propagandas eram assustadoras antes do Zé Gotinha.","1986.","O Zé Gotinha era representado não como o mascote da vacinação e sim como a vacina.","Ele estava chorando por não ter um nome.","A escolha foi feita por meio de uma votação de cartas.","O nome devia ser este pois só podia escolher um vencedor.","Um garoto do Distrito Federal.","A ideia principal era para fazer mais pessoas irem vacinar.","Vacina é um assunto sério pois vacinas salvam vidas.","Não é preciso ter medo de tomar vacina pois uma ""picadinha"" não doi.","Poliomielite é uma doença que causava  paralisia em crianças.","Para mim ele foi feito por meio de cartas porque na época não existia muita tecnologia.","O que incentiva é que o Zé Gotinha representa as crianças que gostam de vacinar não sentem dor.","Ele faz a profissão de escultor.","Essas aspas servem para indicar a fala de alguma pessoa.","Opnião:Aqui,sou uma pessoa ilustre.Fato:Darlan virou até nome do prédio residencial na cidade.","Barreira dos medos significa que o medo das pessoas de vacinar acabou e deslanchou é cresceu.","Significa que as pessoas tem tanto medo que se o medo matasse as pessoas teriam morrido.","A reportagem selecionou de um arquivo pessoal de Darlan Rosa"
"2021/07/14 9:22:23 PM GMT+1","5º ano","personagem","ELA INVENTOU O ZE GOTINHA"," ASSUTADORAS","1986","ELE NAO UMA MARCA NO MEIO DO PEITO","E PORQUE ELE NAO TINHA NOME","ERA FEITA COM CARPTAS","POR CAUSA DA CABECA ME FORMA DE GOTA","DARLAN ROSA"," INCENTIVAR AS CRIANCAS A TOMAR VACINA","A VACINA E UM REMEDIO","PORQUE A VACINA E BOM","MEDULA ESPINAL","PARA NAO  ACABAR A SURPRESA","ELE E UMA CRIANCA","INCENTIVANDO AS CRIANCAS A TOMAR VACINA","PARA RESPONDER","E PARA AS CRIANCAS BRINCA  COM O ZE GOTINHA","NAO TER MEDO DE VACINAR","E TER MUITO MEDO","NA TELEVISAO"
"2021/07/15 12:37:28 AM GMT+1","5º ano","É um personagem que tirou o medo de vacinar das crianças .","É o criador do Zé Gotinha.","Propagandas assustadores ."," Em 1986.","Em 1986 ele era um personagem sem nome , formado por duas gotinhas de pólio . E atualmente ele é  virtual e tem sua família .","Pois ele não tinha um nome .","Por meio da ajuda de concurso ,que se decidia por sorteio .","Pois foram mais de 10 mil pessoas que queriam este nome .","Foi um menino do Distrito Federal. ","Incentivar crianças a não ter medo da vacina .","Pois ajuda a combater ter doenças. ","Pois ajuda a combater doenças .tia ","Uma doença que causa paralisia nas crianças. ","Pois não existia tecnologia avançada quanto hoje em dia .","A sua coragem .","Ele trabalha como escultor. ","Para representar fala .","Fato:fiz o boneco com duas gotas de pólo.
Opinião: aqui sou uma pessoa ilustre","Barreira dos medos / sem medos 
Deslanchou /andou ","Ficar com muito medo. ","Arquivo pessoal de Darlan Rosa."
"2021/07/16 2:03:46 PM GMT+1","5º ano","Zé Gotinha é um personagem criado para fazer as crianças a perderem o medo de tomar vacina.","Darlan Rosa foi quem inventou o Zé Gotinha.
","As propagandas eram assustadoras para fazer as pessoas a terem medo de ficar doente e tomarem a vacina sem medo.","Ele foi criado em 1986.","Zé Gotinha ficada chorando do comercial por não ter um nome, já hoje ele não chora mais pois tem um nome.","Ele aparecia no comercial chorando, pois não tinha um nome.","A escolha foi feita através de um concurso.","Eles entenderam que o nome deveria ser Zé Gotinha, pois havia chegado mais de 10 mil cartas sugerindo o nome Zé Gotinha.","Um menino do Dristrito Federal levou o prêmio.","A ideia principal da campanha era fazer as crianças perderem o medo da vacina e conscientizar sobre sua importância.","Vacina é um assunto sério pois é ela quem nos proteje das doenças.","Não é preciso ter medo pois se você se vacinar estará se protegendo e protegendo quem você ama.","Poliomielite é uma doença que causa paralisia nas crianças.","O concurso pode ter sido por meio de cartas para evitar a confusão de opniões diferentes.","Ele incentiva as crianças a se vacinarem pois ele é amigável, bonzinho e feliz.","O criador do Zé Gotinha trabalha de escultor.","As aspas servem para indicar a fala de uma pessoa.","Darlan virou até nome de prédio residencial na cidade - FATO
“Aqui, sou uma pessoa ilustre” - OPINIÃO","Barreira dos medos tem sentido de medo. Deslanchou tem sentido de dar certo ,nesse contexto.","Morrer de medo significa nesse contexto que todos tivessem medo de pegar as doenças.","A reportagem selecionou esse desenho do arquivo pessoal de Darlan Rosa."
"2021/07/22 1:26:56 PM GMT+1","5º ano","e um personagem q ensentiva a vacinacao","quem criou o Zé gotinha","reportagem na televisão","em 1986","mudo o olho uma cruz no peito e a sobrancelha","por ainda n ter nome","por mais de 10 mil cartas","pois mostra a vacinação e e um nome legal pra ser vacinado ","um menino do distrito federal","incentivar a vacinação","pois nos melhora de doenças","pois vai  nos melhorar de doenças","uma doença que paralisa as crianças","pq ele decidiu fazer um concurso do brasil inteiro","a gotinha","ele trabalha como escultor","representar fala","DEIXA QUE EU LEIO SOZINHO","para ficar mais atraente","medo da doença","da internet "
